dtype,kernel,region,gmean_speedup,gmean_gflops_simd,gmean_gflops_scalar,gmean_cpe_simd,gmean_cpe_scalar,samples,note
f32,dot,DRAM,0.986485172236851,1.70380991910714,1.7271520820163555,3.6650066862181667,3.6162572477305552,48,
f32,dot,L1,0.9153742315331521,2.985028188166504,3.2609921552706442,2.072066645212598,1.9319257387061264,72,
f32,dot,L2,1.0135780081713874,3.291477579366121,3.247384565204141,1.9519803470667807,1.9260006806391918,24,
f32,dot,LLC,0.9556666470463918,2.8212888017362543,2.952168321930877,2.2009229124415057,2.1183282589150303,16,
f32,mul,DRAM,0.9389711573760035,0.6066246043920306,0.6460524368898295,5.134153238232484,4.857672772221457,48,
f32,mul,L1,0.9753649823062608,1.659059641000784,1.7009628919401232,1.90927763198889,1.8276536565457162,72,
f32,mul,L2,1.0016715844569244,1.724053618971567,1.7211765270413417,1.811745161333919,1.835337782172073,24,
f32,mul,LLC,0.8172310574204068,1.3256511529610049,1.6221252740264525,2.3552959871312393,1.956796995632156,16,
f32,saxpy,DRAM,0.9745435481073229,1.520345350969765,1.5600589157072076,4.1193773697549,4.00323031451712,48,
f32,saxpy,L1,0.9211438205820491,3.2284431808788856,3.5048198866914273,1.928975034814043,1.8000042419348699,72,
f32,saxpy,L2,1.030321945219007,3.500422548296259,3.397406572323569,1.8081903457600057,1.8298441358659627,24,
f32,saxpy,LLC,0.8571237379513873,2.8283646851631743,3.2998324045058567,2.229763565671129,1.8753894925238637,16,
f32,stencil,DRAM,0.9051636072258077,5.739052629533403,6.34034840079657,2.716199721869031,2.5000553654846804,12,
f32,stencil,L1,2.8606296533091538,39.246808915871256,13.719639964743726,0.39945636398898376,1.1545880044618386,14,
f32,stencil,L2,3.815597786169118,53.61696800427616,14.05204924864681,0.29136313933302155,1.1354610554769529,6,
f32,stencil,LLC,1.8998746434797393,23.556961476858255,12.39921884199276,0.662966833034467,1.2944135243972978,4,
f64,dot,DRAM,1.085347949286608,0.9520931683844939,0.8772239068681139,6.600025934904667,7.1240747356531955,48,
f64,dot,L1,0.9247830626474741,3.192746841351689,3.452427893966262,1.9676901892715744,1.8216976837837815,72,
f64,dot,L2,0.9898567854489396,3.3376961669648426,3.371898052354174,1.8781621723259314,1.8542468998703903,24,
f64,dot,LLC,0.9951593865906814,1.6469547913714424,1.654965841214389,3.8410621618032317,3.7634274657223563,16,
f64,mul,DRAM,0.9958435779417381,0.31303019183660635,0.3143367078628892,10.02509176874629,9.934684205370942,48,
f64,mul,L1,0.9203270660692188,1.5923957795807222,1.7302498625645726,1.9500267712155976,1.8361022475952034,72,
f64,mul,L2,1.0171956170495624,1.7232226105817963,1.694091659163955,1.823283409915809,1.8462618069646837,24,
f64,mul,LLC,1.1539889348542711,0.8374744021657505,0.7257213452150727,3.7617141612201217,4.30909859679774,16,
f64,saxpy,DRAM,1.025525270550213,0.7753008596495172,0.7560036616489755,8.050899385932455,8.289360657684208,48,
f64,saxpy,L1,0.9372723639738959,3.1752382554265757,3.387743389727226,1.9701017323495325,1.8218809852588582,72,
f64,saxpy,L2,1.0033320818569895,3.4479406194756184,3.4364899536493367,1.8143035274129296,1.8293229168598315,24,
f64,saxpy,LLC,0.9373777419052948,2.2065141093753655,2.353922021756619,2.8302379367377615,2.720172866748665,16,
f64,stencil,DRAM,1.0433793550349784,3.2333844059221466,3.0989537892608108,4.857572508484825,5.035701046213182,12,
f64,stencil,L1,1.5177495352448285,20.01794652348996,13.189229223029116,0.7831723017366523,1.1845868978029332,14,
f64,stencil,L2,1.8385563545216055,24.968141773269814,13.580297232589611,0.6273619550602697,1.1496167738701906,6,
f64,stencil,LLC,0.9042372303837846,7.080111799485023,7.829927326128807,2.214581661551899,1.9937300016171209,4,
f32,dot,ALL,0.9546755398594353,2.545695933554036,2.6665561515578995,2.4515226186901264,2.352183934466754,160,
f32,mul,ALL,0.9511832343176768,1.206533671007614,1.2684555693132151,2.602860254880588,2.468838661353798,160,
f32,saxpy,ALL,0.9458843051253734,2.5727714218389677,2.7199641731003843,2.433654654867383,2.3028599322404504,160,
f32,stencil,ALL,1.9542723609435528,20.579474351906665,10.530504735773155,0.7595819105200886,1.5086030876284309,36,
f64,dot,ALL,0.9874469125320477,2.092488309152046,2.119089424044489,3.003649920790121,2.9567619930971087,160,
f64,mul,ALL,0.9785030013334897,0.9275710552491518,0.9479491161346173,3.3690811471021163,3.321103757627788,160,
f64,saxpy,ALL,0.9728182152737016,2.0306966878089225,2.0874369496027447,3.077953114671251,2.989465314050558,160,
f64,stencil,ALL,1.3056780409290052,10.077202322887462,7.717984071875349,1.5564941604509057,2.0231020116448684,36,
f32,dot,DRAM,1.0077930678865568,2.537931609655002,2.5183062778724006,2.469680360195533,2.4826055763553425,12,stride=1 only
f32,dot,L1,0.919428288685626,2.982798183745865,3.2441879594654845,2.0601891323334396,1.941747085854975,18,stride=1 only
f32,dot,L2,0.992751407193977,3.248287031493081,3.2720044594793385,1.9882690688261382,1.9115056145200577,6,stride=1 only
f32,dot,LLC,0.8782671375107508,2.6991301657422557,3.07324508735728,2.286429321827522,2.0351578257269556,4,stride=1 only
f32,mul,DRAM,0.9053968002441443,0.8743964039488332,0.965760430910567,3.57972420095256,3.273279437007343,12,stride=1 only
f32,mul,L1,0.9920818403254448,1.6805830992092128,1.693996433457456,1.8886317566211437,1.833384214264642,18,stride=1 only
f32,mul,L2,0.9709911671672897,1.7327157471620662,1.7844814718726896,1.8026880190432364,1.7702276340462915,6,stride=1 only
f32,mul,LLC,0.7893297341693912,1.3274996454302763,1.6818062059035435,2.3520695859440512,1.8873556369550315,4,stride=1 only
f32,saxpy,DRAM,0.9478529789864122,2.221384056336299,2.343595584530144,2.8227285404197016,2.6504544824061145,12,stride=1 only
f32,saxpy,L1,0.9184722697082771,3.223247132525162,3.509357047381432,1.928995513500409,1.8007842869040356,18,stride=1 only
f32,saxpy,L2,1.0401004201026007,3.5741771328938543,3.4363769726593127,1.7708826965171618,1.8090935813054683,6,stride=1 only
f32,saxpy,LLC,0.8440940664938443,2.917121318623217,3.4559197066035656,2.1620144680742404,1.8014502899424563,4,stride=1 only
f32,stencil,DRAM,0.9051636072258077,5.739052629533403,6.34034840079657,2.716199721869031,2.5000553654846804,12,stride=1 only
f32,stencil,L1,2.8606296533091538,39.246808915871256,13.719639964743726,0.39945636398898376,1.1545880044618386,14,stride=1 only
f32,stencil,L2,3.815597786169118,53.61696800427616,14.05204924864681,0.29136313933302155,1.1354610554769529,6,stride=1 only
f32,stencil,LLC,1.8998746434797393,23.556961476858255,12.39921884199276,0.662966833034467,1.2944135243972978,4,stride=1 only
f64,dot,DRAM,1.0536885908528817,1.621989031875288,1.539343830763518,3.8632820526988496,4.0615494973828,12,stride=1 only
f64,dot,L1,0.9157285631117388,3.1791952113614457,3.471765913425499,1.973705553560914,1.8151549593677834,18,stride=1 only
f64,dot,L2,1.001447191235294,3.5281246365097,3.5230261439524604,1.7768007930516783,1.7747273147833398,6,stride=1 only
f64,dot,LLC,0.8864410479584941,1.4603429249857314,1.6474224973549614,4.3018067552846455,3.794014970835601,4,stride=1 only
f64,mul,DRAM,0.976022249684572,0.4735308148146958,0.48516395498947906,6.603346746845712,6.468260331484292,12,stride=1 only
f64,mul,L1,0.9182154586646392,1.5931054557546638,1.735001780596808,1.9470070491434162,1.8319489307653134,18,stride=1 only
f64,mul,L2,1.0206335309504102,1.7952036810725351,1.7589111337551764,1.750041874566617,1.778237813307213,6,stride=1 only
f64,mul,LLC,0.9617522453481817,0.8545566073258818,0.8885413176410188,3.6865038838668087,3.5194694640585955,4,stride=1 only
f64,saxpy,DRAM,1.0594002053198806,1.2605843920466462,1.1899038585385389,4.997633436079942,5.284935845791628,12,stride=1 only
f64,saxpy,L1,0.9591330275299296,3.193715358542409,3.3297939564934333,1.9626328704884826,1.8476507830457718,18,stride=1 only
f64,saxpy,L2,1.0265217064165948,3.5233122378653383,3.432282255544888,1.7776855965746696,1.820044995708129,6,stride=1 only
f64,saxpy,LLC,0.8388736337264512,2.421356945502453,2.8864382526201013,2.5786423021341465,2.2182550862735133,4,stride=1 only
f64,stencil,DRAM,1.0433793550349784,3.2333844059221466,3.0989537892608108,4.857572508484825,5.035701046213182,12,stride=1 only
f64,stencil,L1,1.5177495352448285,20.01794652348996,13.189229223029116,0.7831723017366523,1.1845868978029332,14,stride=1 only
f64,stencil,L2,1.8385563545216055,24.968141773269814,13.580297232589611,0.6273619550602697,1.1496167738701906,6,stride=1 only
f64,stencil,LLC,0.9042372303837846,7.080111799485023,7.829927326128807,2.214581661551899,1.9937300016171209,4,stride=1 only
